Empresas, Ftype, Investors
PleIQ Smart Toys, Seed, Magma Partners
Bind ERP, Series A, IGNIA
Finnovista, Venture - Series Unknown, IGNIA
Neoway, Series C, Monashees
Vindi, Series A, Criatec 2
Public Goods, Seed, Investo
SVATech, Series A, Inseed Investimentos
Decision6, Series A, Inseed Investimentos
DeviceLab, Series A, Inseed Investimentos
Camino Financial, Convertible Note, DILA Capital
Underdog, Seed, IGNIA
bxblue, Seed, Investo
Disclosures.io, Seed, Investo
Apli, Seed, ALLVP
Apli, Seed, IGNIA
AlephCRM, Convertible Note, Mercado Libre Fund
Bluesmart, Product Crowdfunding, Monashees
S4, Series A, e.Bricks Ventures
Lentesplus, Series B, IGNIA
Méliuz, Series B, Monashees
FounderList, Seed, Magma Partners
Afluenta, Series B, IGNIA
Afluenta, Series B, Elevar Equity
WEEL, Series A, Monashees
Skyways, Seed, Investo
Rocket.La, Series A, Angel Ventures
Rocket.La, Series A, IGNIA
In Forma Software, Seed, Bozano Investimentos
Compass, Seed, Bozano Investimentos
Kiwi Campus, Seed, Investo
Tienda Nube, Series B, Kaszek Ventures
Tienda Nube, Series B, IGNIA
Tienda Nube, Series B, Elevar Equity
Intellibrand, Venture - Series Unknown, DGF Investimentos
Neoway, Series B, Monashees
Payit, Seed, Investo
Bom Pra Crédito, Seed, SP Ventures
Bom Pra Crédito, Seed, Astella Investimentos
Promip, Venture - Series Unknown, SP Ventures
Alta Motors, Series C, Mountain Nazca
Konduto, Venture - Series Unknown, Criatec 2
KarmaPulse, Seed, IGNIA
back4app, Seed, Monashees
100 Ladrillos, Seed, Investo
Nibo, Series A, Redpoint eventures
Convenia, Seed, Bozano Investimentos
Convenia, Seed, Criatec 2
Cornershop, Series B, ALLVP
Confiance Medical S/A, Seed, Bozano Investimentos
Confiance Medical S/A, Seed, Criatec 2
Pulse Q&A, Seed, Investo
Creze, Series A, Mountain Nazca
OmniBnk, Seed, Magma Partners
GroupRaise, Seed, Magma Partners
CowMed, Series A, Inseed Investimentos
Sr.Pago, Series A, IGNIA
Aplazame, Seed, ALLVP
Viridis Energy, Series A, Inseed Investimentos
Horus Aeronaves, Series A, SP Ventures
Dr.Consulta, Series C, Kaszek Ventures
Dr.Consulta, Series C, Omidyar Network
Returnbase, Venture - Series Unknown, Investo
Aegro, Series A, SP Ventures
weex, Series A, ALLVP
Speak, Seed, Investo
Bios, Seed, Investo
Boxouse, Seed, Investo
Idwall, Seed, Monashees
Luuna, Series A, Mountain Nazca
Skyways, Seed, Investo
Inventive Power, Series A, Angel Ventures
Awesome Jobs, Seed, Magma Partners
Human Inc, Series A, Mountain Nazca
MineSense Technologies, Series C, Aurus
Bulletin, Seed, Investo
Creditas, Series B, Kaszek Ventures
Creditas, Series B, Redpoint eventures
Creditas, Series B, Investo
Creditas, Series B, Quona Capital
Enlight México, Series B, ALLVP
Epitrack, Seed, Bozano Investimentos
Bling, Seed, Bozano Investimentos
Digital House, Series A, Kaszek Ventures
Bluesmart, Series A, Monashees
Bluesmart, Series A, Mountain Nazca
OFI, Series A, Velum Ventures
Airtm, Seed, IGNIA
Airtm, Seed, Elevar Equity
Abra, Series B, IGNIA
Urbvan, Seed, Mountain Nazca
Urbvan, Seed, DILA Capital
Destácame, Seed, Mountain Nazca
Alkanza, Series A, ALLVP
99, Series C, Monashees
Olist, Convertible Note, Redpoint eventures
Petsy, Venture - Series Unknown, Mountain Nazca
Keteka, Seed, Magma Partners
Memed, Series A, Monashees
Memed, Series A, Redpoint eventures
Escale, Series A, Redpoint eventures
Converus, Venture - Series Unknown, Alta Ventures Mexico
IguanaFix, Series B, Angel Ventures
Rappi, Series B, Monashees
Rappi, Series B, Redpoint eventures
Rappi, Series B, Investo
Creze, Seed, Mountain Nazca
TappTime, Seed, Mountain Nazca
Pangea Money Transfer, Series B, IGNIA
Méliuz, Series A, Monashees
Wright Electric Airplanes, Seed, Investo
Pismo, Series A, Redpoint eventures
clickOnero, Series A, Angel Ventures
Alta Motors, Series B, Mountain Nazca
Sr.Pago, Seed, IGNIA
Rappi, Series A, Monashees
Infracommerce, Series C, e.Bricks Ventures
RD Station, Series C, Redpoint eventures
RD Station, Series C, DGF Investimentos
Merqueo, Seed, Mountain Nazca
Merqueo, Seed, Velum Ventures
Underdog, Seed, IGNIA
Konduto, Seed, Bozano Investimentos
Acsendo, Seed, Velum Ventures
Muxi, Series B, Confrapar
Miroculus, Series A, Mountain Nazca
Recorrido, Seed, Mountain Nazca
Vindi, Series A, Bozano Investimentos
Vindi, Series A, Criatec 2
Nubity, Series A, ALLVP
Busqo, Seed, Velum Ventures
VRTIFY, Venture - Series Unknown, Angel Ventures
Babytuto, Venture - Series Unknown, Mountain Nazca
MineSense Technologies, Series B, Aurus
Nube, Seed, Angel Ventures
Upgraded Technologies, Seed, Investo
Contabilizei, Series A, Kaszek Ventures
Contabilizei, Series A, e.Bricks Ventures
Livement, Seed, Investo
BANDIT, Seed, Mountain Nazca
Vindi, Seed, Bozano Investimentos
Vindi, Seed, Criatec 2
Dentalia, Series B, ALLVP
BizCapital, Seed, Monashees
OnCase, Seed, Bozano Investimentos
In Forma Software, Seed, Bozano Investimentos
In Forma Software, Seed, Criatec 2
Billpocket, Convertible Note, Investo
Cambly, Seed, Monashees
Cambly, Seed, Investo
Kavak, Seed, Mountain Nazca
DogHero, Venture - Series Unknown, Monashees
Apli, Seed, ALLVP
Enlight México, Seed, ALLVP
Bluesmart, Seed, Mountain Nazca
TappTime, Seed, Mountain Nazca
zipster, Seed, Monashees
Kubo.financiero, Series A, Alta Ventures Mexico
Oxi Ambiental, Series A, Inseed Investimentos
Alephants, Seed, Mountain Nazca
NRE Educacional, Private Equity, Bozano Investimentos
SimpleCitizen, Seed, Investo
Jusbrasil, Series A, Monashees
Slidebean, Seed, Magma Partners
uMov.me, Venture - Series Unknown, CRP Companhia de Participaçõe
MURAL, Seed, Alta Ventures Mexico
gurucargo.com, Series A, Angel Ventures
Human Inc, Seed, Mountain Nazca
Urbvan, Angel, Mountain Nazca
Pousta, Seed, Magma Partners
Clinc!, Convertible Note, Mercado Libre Fund
Algenis, Venture - Series Unknown, Aurus
Nanox, Seed, Bozano Investimentos
Nanox, Seed, Criatec 2
Creditas, Series A, Kaszek Ventures
Creditas, Series A, Redpoint eventures
Creditas, Series A, Investo
Creditas, Series A, Quona Capital
InCeres, Series A, SP Ventures
Agronow Tecnologia, Series A, SP Ventures
Maker.do, Seed, Magma Partners
Aplazame, Seed, ALLVP
Strider, Series A, Monashees
Medcell, Private Equity, Bozano Investimentos
Joy Street, Seed, Bozano Investimentos
Joy Street, Seed, Criatec 2
AmberAds, Seed, Magma Partners
Konfio, Series A, Kaszek Ventures
Konfio, Series A, Investo
Konfio, Series A, Quona Capital
Agrosmart, Seed, SP Ventures
Skore, Seed, Redpoint eventures
GuiaBolso, Series C, Kaszek Ventures
GuiaBolso, Series C, Investo
AppProva, Series A, e.Bricks Ventures
Nubleer Media, Series A, Mountain Nazca
Rappi, Seed, Redpoint eventures
Chipus Microelectronics, Seed, Bozano Investimentos
Compass, Seed, Bozano Investimentos
Compass, Seed, Criatec 2
Boxi Sleep, Seed, Velum Ventures
Tu Canton, Venture - Series Unknown, Angel Ventures
Tu Canton, Venture - Series Unknown, DILA Capital
ChefsClub, Series B, Confrapar
Rock Content, Series A, e.Bricks Ventures
Guiche Virtual, Series A, Kaszek Ventures
Beek, Seed, Investo
CHP Brasil, Series A, Inseed Investimentos
Human Inc, Seed, Mountain Nazca
Kueski, Series A, Angel Ventures
Cornershop, Series A, ALLVP
Passei Direto, Series B, Bozano Investimentos
Procesa Chiapas, Venture - Series Unknown, IGNIA
Destácame, Seed, Mountain Nazca
BlueOpex, Series B, Confrapar
Luuna, Seed, Mountain Nazca
Unima, Seed, Investo
Producteca, Seed, Mercado Libre Fund
Mandaê, Series A, Monashees
Jooycar, Seed, Magma Partners
Dr.Consulta, Series B, Kaszek Ventures
AmberAds, Seed, Magma Partners
Asistia, Seed, Investo
iVoy, Series A, DILA Capital
Onko Solutions, Series A, Angel Ventures
Onko Solutions, Series A, Promotora Social México
weex, Series A, ALLVP
Bankity, Seed, Magma Partners
QuintoAndar, Series A, Kaszek Ventures
MisAbogados.com, Seed, Mountain Nazca
WebRadar, Venture - Series Unknown, DGF Investimentos
EchoPixel, Venture - Series Unknown, Aurus
Salud Fácil, Venture - Series Unknown, ALLVP
Pipefy, Venture - Series Unknown, Redpoint eventures
Platzi, Seed, Mountain Nazca
Platzi, Seed, Omidyar Network
Nubank, Series C, Kaszek Ventures
Olist, Series A, Redpoint eventures
EZ Commerce, Seed, Bozano Investimentos
Rocket.La, Seed, Angel Ventures
Arcus, Seed, Investo
Meloncargo, Convertible Note, Mercado Libre Fund
Salud Fácil, Series B, ALLVP
Salud Fácil, Series B, Angel Ventures
HigherMe, Seed, Investo
Ingresse, Series B, e.Bricks Ventures
Ingresse, Series B, DGF Investimentos
