Investors,Empresa,Ftype
Inseed Investimentos,SVATech,Series A
Inseed Investimentos,Decision6,Series A
Inseed Investimentos,DeviceLab,Series A
DILA Capital,Camino Financial,Convertible Note
IGNIA,Underdog,Seed
Investo,bxblue,Seed
Investo,Disclosures.io,Seed
ALLVP,Apli,Seed
IGNIA,Apli,Seed
Mercado Libre Fund,AlephCRM,Convertible Note
Monashees,Bluesmart,Product Crowdfunding
e.Bricks Ventures,S4,Series A
IGNIA,Lentesplus,Series B
Monashees,Méliuz,Series B
Magma Partners,FounderList,Seed
Elevar Equity,Afluenta,Series B
IGNIA,Afluenta,Series B
Monashees,WEEL,Series A
Investo,Skyways,Seed
Angel Ventures,Rocket.La,Series A
IGNIA,Rocket.La,Series A
Bozano Investimentos,In Forma Software,Seed
Bozano Investimentos,Compass,Seed
Investo,Kiwi Campus,Seed
Elevar Equity,Tienda Nube,Series B
IGNIA,Tienda Nube,Series B
Kaszek Ventures,Tienda Nube,Series B
DGF Investimentos,Intellibrand,Venture - Series Unknown
Monashees,Neoway,Series B
Investo,Payit,Seed
Astella Investimentos,Bom Pra Crédito,Seed
SP Ventures,Bom Pra Crédito,Seed
SP Ventures,Promip,Venture - Series Unknown
Mountain Nazca,Alta Motors,Series C
Criatec 2,Konduto,Venture - Series Unknown
IGNIA,KarmaPulse,Seed
Monashees,back4app,Seed
Investo,100 Ladrillos,Seed
Redpoint eventures,Nibo,Series A
Bozano Investimentos,Convenia,Seed
Criatec 2,Convenia,Seed
ALLVP,Cornershop,Series B
Bozano Investimentos,Confiance Medical S/A,Seed
Criatec 2,Confiance Medical S/A,Seed
Investo,Pulse Q&A,Seed
Mountain Nazca,Creze,Series A
Magma Partners,OmniBnk,Seed
Magma Partners,GroupRaise,Seed
Inseed Investimentos,CowMed,Series A
IGNIA,Sr.Pago,Series A
ALLVP,Aplazame,Seed
Inseed Investimentos,Viridis Energy,Series A
SP Ventures,Horus Aeronaves,Series A
Kaszek Ventures,Dr.Consulta,Series C
Omidyar Network,Dr.Consulta,Series C
Investo,Returnbase,Venture - Series Unknown
SP Ventures,Aegro,Series A
ALLVP,weex,Series A
Investo,Speak,Seed
Investo,Bios,Seed
Investo,Boxouse,Seed
Monashees,Idwall,Seed
Mountain Nazca,Luuna,Series A
Investo,Skyways,Seed
Angel Ventures,Inventive Power,Series A
Magma Partners,Awesome Jobs,Seed
Mountain Nazca,Human Inc,Series A
Aurus,MineSense Technologies,Series C
Investo,Bulletin,Seed
Kaszek Ventures,Creditas,Series B
Quona Capital,Creditas,Series B
Redpoint eventures,Creditas,Series B
ALLVP,Enlight México,Series B
Bozano Investimentos,Epitrack,Seed
Bozano Investimentos,Bling,Seed
Kaszek Ventures,Digital House,Series A
Monashees,Bluesmart,Series A
Mountain Nazca,Bluesmart,Series A
Velum Ventures,OFI,Series A
Elevar Equity,Airtm,Seed
IGNIA,Airtm,Seed
IGNIA,Abra,Series B
DILA Capital,Urbvan,Seed
Mountain Nazca,Urbvan,Seed
Mountain Nazca,Destácame,Seed
ALLVP,Alkanza,Series A
Monashees,99,Series C
Redpoint eventures,Olist,Convertible Note
Mountain Nazca,Petsy,Venture - Series Unknown
Magma Partners,Keteka,Seed
Monashees,Memed,Series A
Redpoint eventures,Memed,Series A
Redpoint eventures,Escale,Series A
Alta Ventures Mexico,Converus,Venture - Series Unknown
Angel Ventures,IguanaFix,Series B
Investo,Rappi,Series B
Monashees,Rappi,Series B
Redpoint eventures,Rappi,Series B
Mountain Nazca,Creze,Seed
Mountain Nazca,TappTime,Seed
IGNIA,Pangea Money Transfer,Series B
Monashees,Méliuz,Series A
Investo,Wright Electric Airplanes,Seed
Redpoint eventures,Pismo,Series A
Angel Ventures,clickOnero,Series A
Mountain Nazca,Alta Motors,Series B
IGNIA,Sr.Pago,Seed
Monashees,Rappi,Series A
e.Bricks Ventures,Infracommerce,Series C
DGF Investimentos,RD Station,Series C
Redpoint eventures,RD Station,Series C
Mountain Nazca,Merqueo,Seed
Velum Ventures,Merqueo,Seed
IGNIA,Underdog,Seed
Bozano Investimentos,Konduto,Seed
Velum Ventures,Acsendo,Seed
Confrapar,Muxi,Series B
Mountain Nazca,Miroculus,Series A
Mountain Nazca,Recorrido,Seed
Bozano Investimentos,Vindi,Series A
Criatec 2,Vindi,Series A
ALLVP,Nubity,Series A
Velum Ventures,Busqo,Seed
Angel Ventures,VRTIFY,Venture - Series Unknown
Mountain Nazca,Babytuto,Venture - Series Unknown
Aurus,MineSense Technologies,Series B
Angel Ventures,Nube,Seed
Investo,Upgraded Technologies,Seed
e.Bricks Ventures,Contabilizei,Series A
Kaszek Ventures,Contabilizei,Series A
Investo,Livement,Seed
Mountain Nazca,BANDIT,Seed
Bozano Investimentos,Vindi,Seed
Criatec 2,Vindi,Seed
ALLVP,Dentalia,Series B
Monashees,BizCapital,Seed
Bozano Investimentos,OnCase,Seed
Bozano Investimentos,In Forma Software,Seed
Criatec 2,In Forma Software,Seed
Investo,Billpocket,Convertible Note
Investo,Cambly,Seed
Monashees,Cambly,Seed
Mountain Nazca,Kavak,Seed
Monashees,DogHero,Venture - Series Unknown
ALLVP,Apli,Seed
ALLVP,Enlight México,Seed
Mountain Nazca,Bluesmart,Seed
Mountain Nazca,TappTime,Seed
Monashees,zipster,Seed
Alta Ventures Mexico,Kubo.financiero,Series A
Inseed Investimentos,Oxi Ambiental,Series A
Mountain Nazca,Alephants,Seed
Bozano Investimentos,NRE Educacional,Private Equity
Investo,SimpleCitizen,Seed
Monashees,Jusbrasil,Series A
Magma Partners,Slidebean,Seed
CRP Companhia de Participaçõe,uMov.me,Venture - Series Unknown
Alta Ventures Mexico,MURAL,Seed
Angel Ventures,gurucargo.com,Series A
Mountain Nazca,Human Inc,Seed
Mountain Nazca,Urbvan,Angel
Magma Partners,Pousta,Seed
Mercado Libre Fund,Clinc!,Convertible Note
Aurus,Algenis,Venture - Series Unknown
Bozano Investimentos,Nanox,Seed
Criatec 2,Nanox,Seed
Kaszek Ventures,Creditas,Series A
Quona Capital,Creditas,Series A
Redpoint eventures,Creditas,Series A
SP Ventures,InCeres,Series A
SP Ventures,Agronow Tecnologia,Series A
Magma Partners,Maker.do,Seed
ALLVP,Aplazame,Seed
Monashees,Strider,Series A
Bozano Investimentos,Medcell,Private Equity
Bozano Investimentos,Joy Street,Seed
Criatec 2,Joy Street,Seed
Magma Partners,AmberAds,Seed
Kaszek Ventures,Konfio,Series A
Quona Capital,Konfio,Series A
SP Ventures,Agrosmart,Seed
Redpoint eventures,Skore,Seed
Kaszek Ventures,GuiaBolso,Series C
e.Bricks Ventures,AppProva,Series A
Mountain Nazca,Nubleer Media,Series A
Redpoint eventures,Rappi,Seed
Bozano Investimentos,Chipus Microelectronics,Seed
Bozano Investimentos,Compass,Seed
Criatec 2,Compass,Seed
